,,,,,,,
만 0~5세,예) 1,,,,,예) 음식 추천 등,
아이 나이,월별,사회성 / 감정,언어 / 소통,"인지 (학습, 사고, 문제 해결)",움직임 / 신체 발달,그 외 (Tip),자료 출처*
,36,,최소 두 번 이상 주고받는 내용이 있는 대화를 나눈다,,,,cdc
,36,,"“엄마/아빠 어디 있어요?”와 같이 “누가,” “무엇을,” “어디에서,” 또는 “왜”가 포함된 질문을 한다",,,,cdc
,36,,"질문을 받으면 ""뛰어요"", ""먹어요"" 또는 ""놀아요""와 같이그림이나 책에서 어떤 행동이 일어나고 있는지 말한다",,,,cdc
,36,,질문을 받으면 이름을 말한다,,,,cdc
,36,,대부분의 경우 다른 사람이 이해할 수 있을 정도로 이야기를 잘한다,,,,cdc
,36,,,아이에게 동그라미를 그리는 방법을 보여주면 그린다,,,cdc
,36,,,아이에게 주의를 주면 가스레인지와 같은 뜨거운 물체를 만지지 않는다,,,cdc
,36,,,,큰 구슬 또는 마카로니와 같은 물건을 함께 (끈이나 실에) 꿴다,,cdc
,36,,,,헐렁한 바지나 재킷과 같이 일부 옷을 혼자서 입는다,,cdc
,36,,,,포크를 사용한다,,cdc
48개월(4년),48,"놀이 중에 다른 무언가의 흉내를 낸다(선생님, 수퍼히어로, 개)",,,,,cdc
,48,주변에 놀 사람이 없으면 “Alex와 놀아도 돼요?”와 같이 다른 아이들과 함께 놀아도 되는지 묻는다,,,,,cdc
,48,울고 있는 친구를 안아주는 것과 같이 아프거나 슬픈 다른 사람을 위로한다,,,,,cdc
,48,놀이터에서 높은 곳에서 뛰어내리는 등의 위험한 행동을 하지 않는다,,,,,cdc
,48,"""도우미""가 되는 것을 좋아한다",,,,,cdc
,48,"자신이 있는 장소에 맞게 행동을 바꾼다(예배 장소, 도서관, 놀이터)",,,,,cdc
,48,,4개 이상의 단어로 문장을 말한다,,,,cdc
,48,,"노래, 이야기 또는 전래동요에 나오는 몇 가지 단어를 말한다",,,,cdc
,48,,“축구를 했어요.”와 같이 하루 중 발생한 일 중 적어도 한 가지에 대해 이야기한다,,,,cdc
,48,,"""코트는 왜 필요하지?"" 또는 “크레용은 왜 필요하지?”와 같은 간단한 질문에 답변한다",,,,cdc
,48,,,물건의 몇 가지 색깔을 말한다,,,cdc
,48,,,잘 알려진 이야기에서 다음에 무슨 일이 일어날 지에 대해 말한다,,,cdc
,48,,,3개 이상의 신체 부위가 있는 사람을 그린다,,,cdc
,48,,,,대부분의 경우 큰 공을 잡는다,,cdc
,48,,,,어른의 감독 하에 음식을 스스로 갖다 먹거나 물을 따른다,,cdc
,48,,,,일부 단추를 푼다,,cdc
,48,,,,(주먹이 아닌) 엄지손가락과 다른 손가락 사이로 크레용 또는 연필을 잡는다,,
60개월(5년),60,다른 아이들과 게임을 할 때 규칙을 따르거나 차례대로 번갈아 가며 한다,,,,,cdc
,60,"귀하를 위해 노래를 하거나, 춤을 추거나, 연기를 한다",,,,,cdc
,60,양말 짝 찾기 또는 식사 후 식탁 치우기 등 집에서 간단한 집안일을 한다,,,,,cdc
